                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.53863,                 0.3437,                0.79964,                0.94195,                0.85525,                 0.9073,                0.80235,                0.36822,                0.25508,                0.80268,                0.00769,                0.00769,                0.00769
                     37,                0.53539,                0.33901,                0.79823,                0.94118,                0.85437,                0.90877,                0.80407,                0.36276,                0.25077,                0.79997,               0.007624,               0.007624,               0.007624
                     38,                0.52779,                0.33822,                0.79813,                0.94281,                0.85228,                0.90764,                 0.8014,                 0.3729,                0.25533,                0.80087,               0.007558,               0.007558,               0.007558
                     39,                0.53122,                0.34065,                0.79778,                 0.9438,                0.85222,                0.90643,                0.80599,                0.36838,                0.25299,                0.79953,               0.007492,               0.007492,               0.007492
                     40,                0.52371,                0.33387,                0.79798,                0.94799,                0.85515,                0.91349,                0.80182,                0.36905,                0.25028,                0.80181,               0.007426,               0.007426,               0.007426
                     41,                0.51872,                0.32992,                0.79632,                0.94629,                0.85491,                0.91455,                0.81413,                0.35655,                0.24115,                 0.7999,                0.00736,                0.00736,                0.00736
                     42,                0.51006,                0.32418,                0.79454,                 0.9391,                0.85824,                0.91326,                0.81004,                0.35342,                0.24431,                0.79743,               0.007294,               0.007294,               0.007294
                     43,                0.51193,                0.32373,                0.79358,                0.95189,                0.85674,                0.91322,                0.80215,                0.35888,                0.24344,                0.79849,               0.007228,               0.007228,               0.007228
                     44,                0.51108,                 0.3225,                0.79299,                0.95401,                0.85561,                0.91376,                0.80765,                0.34704,                0.23892,                0.79736,               0.007162,               0.007162,               0.007162
                     45,                0.50626,                0.32178,                0.79451,                0.94619,                0.86133,                0.90929,                0.80893,                0.35253,                0.23999,                 0.7991,               0.007096,               0.007096,               0.007096
                     46,                 0.5059,                0.32124,                0.79386,                0.94452,                0.85736,                0.91458,                0.81065,                0.34743,                 0.2391,                0.79614,                0.00703,                0.00703,                0.00703
                     47,                0.49668,                0.31668,                0.79349,                0.94663,                0.85949,                0.91408,                0.81584,                0.35239,                0.23753,                0.79786,               0.006964,               0.006964,               0.006964
                     48,                0.49294,                0.31255,                0.79147,                0.95145,                0.85529,                0.91165,                0.81198,                0.34971,                0.23594,                0.79663,               0.006898,               0.006898,               0.006898
                     49,                0.48783,                0.30854,                0.79137,                0.94915,                0.85959,                0.91619,                 0.8204,                0.33695,                0.23001,                0.79618,               0.006832,               0.006832,               0.006832
                     50,                0.48474,                0.30752,                 0.7912,                0.94903,                0.85835,                 0.9162,                0.82084,                0.33847,                0.23049,                0.79578,               0.006766,               0.006766,               0.006766
                     51,                0.48329,                0.30591,                0.79098,                0.95908,                0.85807,                0.91724,                0.81714,                0.33928,                0.23104,                0.79537,                 0.0067,                 0.0067,                 0.0067
                     52,                0.48046,                0.30267,                0.78931,                  0.956,                0.85842,                0.91574,                0.81798,                0.34363,                0.22803,                0.79703,               0.006634,               0.006634,               0.006634
                     53,                0.47785,                0.30054,                0.78963,                0.94977,                0.86072,                0.91746,                0.82307,                  0.335,                 0.2269,                0.79509,               0.006568,               0.006568,               0.006568
                     54,                0.47742,                0.29962,                0.78912,                0.95219,                0.86159,                0.91657,                0.81743,                0.33364,                0.22511,                0.79524,               0.006502,               0.006502,               0.006502
                     55,                0.47342,                0.29852,                0.78905,                0.95067,                0.86219,                0.91631,                0.82352,                0.33478,                0.22505,                0.79364,               0.006436,               0.006436,               0.006436
                     56,                0.47653,                0.29806,                0.78856,                0.95103,                0.86081,                0.91815,                0.82018,                 0.3337,                0.22428,                0.79477,                0.00637,                0.00637,                0.00637
                     57,                0.46683,                0.29394,                0.78927,                0.95272,                0.86087,                0.91829,                0.82165,                0.32902,                0.22174,                0.79415,               0.006304,               0.006304,               0.006304
                     58,                0.46694,                0.29266,                0.78754,                0.95311,                0.86143,                0.91834,                0.82179,                 0.3245,                0.21818,                0.79301,               0.006238,               0.006238,               0.006238
                     59,                0.46666,                0.29123,                0.78785,                0.95299,                0.86131,                0.92064,                0.82959,                0.32242,                0.21956,                0.79409,               0.006172,               0.006172,               0.006172
                     60,                0.46634,                0.29382,                0.78694,                0.95571,                0.86197,                 0.9198,                0.82671,                0.32627,                 0.2185,                0.79382,               0.006106,               0.006106,               0.006106
                     61,                 0.4597,                0.28758,                0.78509,                0.95536,                0.86026,                0.91864,                0.82755,                0.32709,                0.21854,                0.79319,                0.00604,                0.00604,                0.00604
                     62,                0.45108,                 0.2824,                0.78529,                 0.9585,                0.86163,                0.92117,                0.82854,                0.31963,                0.21424,                0.79301,               0.005974,               0.005974,               0.005974
                     63,                0.45228,                0.28262,                0.78563,                0.95535,                0.86178,                0.92289,                0.82763,                0.31745,                0.21406,                0.79289,               0.005908,               0.005908,               0.005908
                     64,                0.44991,                0.27966,                0.78425,                0.95339,                0.86625,                0.92066,                0.82909,                0.32314,                0.21567,                0.79205,               0.005842,               0.005842,               0.005842
                     65,                0.44764,                0.27896,                0.78585,                0.95566,                0.86097,                 0.9195,                0.82951,                0.31709,                 0.2109,                0.79256,               0.005776,               0.005776,               0.005776
